name,district,latitude,longitude,phone
Colombo Fort Police Station,Colombo,6.93548,79.84289,011-2433333
Kollupitiya Police Station,Colombo,6.90689,79.84851,011-2574426
Welisara Police Station,Gampaha,7.02941,79.94952,011-2969265
Negombo Police Station,Negombo,7.20952,79.83462,031-2222266
Kalutara Police Station,Kalutara,6.58595,79.96037,034-2222267
Kandy Police Station,Kandy,7.28943,80.63309,081-2222223
Peradeniya Police,Kandy,7.26702,80.59741,081-3881623
Galle Fort Police,Galle,6.02542,80.21689,091-2234226
Matara Police Station,Matara,5.94955,80.54287,041-2222228
Hambantota Police,Hambantota,6.12461,81.11891,047-2250228
Jaffna Police Station,Jaffna,9.66144,80.02551,021-2222228
Trincomalee Police,Trincomalee,8.56909,81.23367,026-2223268
Batticaloa Police,Batticaloa,7.71334,81.69946,065-2222268
Ampara Police Station,Ampara,7.29706,81.68241,063-2222268
Anuradhapura Police,Anuradhapura,8.33454,80.41096,025-2222268
Polonnaruwa Police,Polonnaruwa,7.93972,81.00369,027-2222268
Kurunegala Police,Kurunegala,7.48306,80.36805,037-2222268
Ratnapura Police,Ratnapura,6.68156,80.40229,045-2222268
Badulla Police Station,Badulla,6.99306,81.05472,055-2222268
Monaragala Police,Monaragala,6.87243,81.05676,055-2276268
Puttalam Police,Puttalam,8.03627,79.82834,032-2265268
Vavuniya Police,Vavuniya,8.75509,80.49708,024-3245268
Mannar Police,Mannar,8.97951,79.90451,023-2222268
Nuwara Eliya Police,Nuwara Eliya,6.94972,80.78914,052-2222268
Ella Police Post,Ella,6.86663,81.04607,057-2228899
